id,employmentStatus,currentEmployer,positionTitle,grossAnnualIncome,unemploymentPeriod,receivesFinancialAssistance,assistanceExplanation,receivesSocialSecurity,numberOfPeopleInHousehold
1,0,NULL,NULL,NULL,More than 1 year,1,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,1,2
2,0,NULL,NULL,NULL,Less than 6 months,1,accumsan tellus nisi eu orci mauris lacinia sapien quis libero,1,1
3,1,Eidel,Business Systems Development Analyst,95117,NULL,1,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,0,8
4,1,Zoomzone,Structural Analysis Engineer,41958,NULL,1,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,0,1
5,0,NULL,NULL,NULL,More than 6 months,1,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,0,7
6,1,Gigashots,Chemical Engineer,47257,NULL,0,NULL,1,5
7,1,Jaxbean,Mechanical Systems Engineer,24256,NULL,1,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,1,5
8,1,Agimba,Business Systems Development Analyst,33143,NULL,1,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,1,6
9,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,3
10,1,Yata,Research Associate,67423,NULL,1,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,1,7
11,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,10
12,0,NULL,NULL,NULL,More than 6 months,1,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,0,5
13,1,Nlounge,Structural Analysis Engineer,63927,NULL,0,NULL,1,1
14,1,Tagcat,Quality Engineer,92118,NULL,1,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,0,2
15,1,Camimbo,Senior Quality Engineer,55774,NULL,1,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,1,6
16,0,NULL,NULL,NULL,Less than 6 months,1,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,1,4
17,0,NULL,NULL,NULL,More than 6 months,1,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend,0,9
18,0,NULL,NULL,NULL,More than 1 year,1,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,0,7
19,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,5
20,1,Zazio,Nuclear Power Engineer,80523,NULL,1,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,1,7
21,1,Photolist,Health Coach IV,37237,NULL,1,suspendisse potenti in eleifend quam a odio in hac habitasse,1,4
22,1,Dabfeed,Software Engineer IV,20761,NULL,1,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,0,4
23,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,9
24,0,NULL,NULL,NULL,More than 6 months,1,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,0,6
25,1,Realbuzz,Chief Design Engineer,82750,NULL,1,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,1,4
26,1,Roomm,Staff Accountant I,06127,NULL,1,tortor quis turpis sed ante vivamus tortor duis mattis egestas,0,4
27,0,NULL,NULL,NULL,Less than 6 months,1,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,0,8
28,1,Lajo,Senior Financial Analyst,40770,NULL,0,NULL,1,6
29,1,Brightbean,Structural Engineer,47257,NULL,1,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,0,2
30,1,Meejo,Operator,11612,NULL,0,NULL,0,10
31,1,Livepath,Assistant Media Planner,37450,NULL,1,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,1,5
32,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,10
33,1,Skippad,VP Product Management,28445,NULL,0,NULL,1,6
34,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,4
35,0,NULL,NULL,NULL,More than 6 months,1,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,1,10
36,1,Jetwire,Actuary,75670,NULL,1,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,1,10
37,1,Photobean,Sales Associate,21804,NULL,1,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,0,2
38,1,Flashspan,Health Coach IV,37834,NULL,0,NULL,1,3
39,1,Teklist,Analog Circuit Design manager,76097,NULL,1,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,1,1
40,0,NULL,NULL,NULL,More than 6 months,1,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,0,7
41,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,2
42,1,Mynte,Safety Technician IV,50987,NULL,0,NULL,0,10
43,0,NULL,NULL,NULL,More than 1 year,1,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,1,7
44,0,NULL,NULL,NULL,Less than 6 months,1,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,0,9
