id,marriageStatus,numberOfChildren
1,Yes,3
2,Yes,4
3,Yes,5
4,Yes,4
5,Yes,4
6,Divorced,2
7,Yes,2
8,Divorced,5
9,Divorced,1
10,No,2
11,Yes,6
12,Yes,7
13,Yes,1
14,Divorced,6
15,Yes,7
16,Divorced,5
17,No,0
18,Divorced,0
19,Divorced,5
20,Divorced,0
21,Yes,7
22,Divorced,8
23,Yes,5
24,Yes,2
25,Divorced,3
26,Yes,5
27,Yes,6
28,Yes,8
29,Divorced,6
30,Divorced,3
31,No,4
32,Yes,2
33,Yes,8
34,No,1
35,Yes,1
36,No,5
37,Yes,5
38,Yes,6
39,Yes,2
40,Divorced,7
41,Yes,8
42,No,0
43,Yes,2
44,Yes,2
45,Yes,0
46,Yes,1
47,No,3
48,Divorced,6
49,Divorced,8
50,No,0
51,Yes,5
52,Yes,4
53,Divorced,1
54,Yes,3
55,Yes,5
56,Divorced,4
57,Divorced,2
58,Yes,4
59,Yes,5
60,No,3
61,Divorced,6
62,Yes,3
63,Yes,3
64,No,0
65,No,1
66,Divorced,7
67,Yes,4
68,Divorced,2
69,Yes,2
70,Yes,5
71,Yes,1
72,Divorced,6
73,No,7
74,Yes,3
75,No,1
76,Yes,7
77,Divorced,6
78,Yes,4
79,Yes,8
80,Yes,7
81,No,8
82,Divorced,4
83,Yes,2
84,Divorced,1
85,No,8
86,No,4
87,Divorced,1
88,Yes,8
89,Yes,1
90,Yes,0
91,Yes,6
92,Yes,5
93,Divorced,8
94,Yes,1
95,No,2
96,Yes,3
97,No,1
98,Yes,0
99,Yes,1
100,Yes,7
101,Divorced,0
102,Yes,3
103,No,1
104,Yes,5
105,Yes,7
106,No,6
107,Yes,3
108,Divorced,1
109,Yes,0
110,Yes,7
111,Yes,2
112,Yes,4
113,Yes,3
114,Yes,7
115,Divorced,0
116,Yes,4
117,No,0
118,No,8
119,Yes,0
120,No,5
121,No,8
122,No,1
123,No,8
124,Divorced,7
125,No,3
126,Divorced,1
127,Yes,1
128,Yes,0
129,Yes,0
130,No,8
131,No,0
132,Yes,2
133,Yes,2
134,Yes,6
135,Yes,5
136,No,5
137,No,0
138,Yes,5
139,Yes,8
140,No,2
141,No,6
142,Divorced,5
143,Yes,8
144,Divorced,7
145,No,0
146,Divorced,1
147,No,6
148,No,1
149,No,3
150,No,7
151,Yes,1
152,No,2
153,Yes,0
154,Yes,6
155,No,8
156,Yes,2
157,No,5
158,No,8
159,No,2
160,No,7
161,Yes,7
162,Yes,5
163,Divorced,4
164,Yes,3
165,Yes,8
166,Yes,6
167,Divorced,8
168,Yes,4
169,No,8
170,No,7
171,No,0
172,Yes,5
173,Yes,1
174,No,6
175,Yes,1
176,No,7
177,No,8
178,No,2
179,Yes,1
180,Yes,4
181,No,4
182,No,6
183,Yes,0
184,Yes,5
185,Divorced,5
186,No,5
187,Yes,3
188,Yes,8
189,No,2
190,No,4
