id,biologicalSex,ethnicity
1,Female,American Indian or Alaska Native
2,Male,Caucasian
3,Male,Asian
4,Female,Asian
5,Female,American Indian or Alaska Native
6,Male,Asian
7,Male,Hispanic or Latino
8,Male,American Indian or Alaska Native
9,Male,Asian
10,Male,Hispanic or Latino
11,Female,Caucasian
12,Male,Hispanic or Latino
13,Female,Asian
14,Male,Hispanic or Latino
15,Female,Black or African American
16,Female,American Indian or Alaska Native
17,Male,American Indian or Alaska Native
18,Male,Hispanic or Latino
19,Male,American Indian or Alaska Native
20,Female,American Indian or Alaska Native
21,Female,Asian
22,Female,Hispanic or Latino
23,Female,Caucasian
24,Male,Asian
25,Female,Hispanic or Latino
26,Male,Asian
27,Male,Hispanic or Latino
28,Male,Hispanic or Latino
29,Female,American Indian or Alaska Native
30,Male,Black or African American
31,Male,Black or African American
32,Male,American Indian or Alaska Native
33,Female,Caucasian
34,Female,Caucasian
35,Male,Caucasian
36,Male,Caucasian
37,Male,Asian
38,Female,Asian
39,Male,Asian
40,Male,Caucasian
41,Male,Black or African American
42,Female,American Indian or Alaska Native
43,Female,American Indian or Alaska Native
44,Male,Black or African American
45,Male,Asian
46,Female,Black or African American
47,Male,Hispanic or Latino
48,Female,Caucasian
49,Male,Caucasian
50,Male,American Indian or Alaska Native
51,Male,Black or African American
52,Male,American Indian or Alaska Native
53,Female,American Indian or Alaska Native
54,Male,Asian
55,Female,Asian
56,Female,Hispanic or Latino
57,Male,Asian
58,Male,Black or African American
59,Male,Hispanic or Latino
60,Female,Hispanic or Latino
61,Female,Hispanic or Latino
62,Female,American Indian or Alaska Native
63,Male,Black or African American
64,Female,American Indian or Alaska Native
65,Male,Black or African American
66,Male,Hispanic or Latino
67,Female,Hispanic or Latino
68,Male,Caucasian
69,Male,Asian
70,Female,Hispanic or Latino
71,Female,Hispanic or Latino
72,Female,American Indian or Alaska Native
73,Female,Black or African American
74,Male,Hispanic or Latino
75,Female,Asian
76,Female,Hispanic or Latino
77,Male,Hispanic or Latino
78,Male,Asian
79,Male,Black or African American
80,Male,Caucasian
81,Male,American Indian or Alaska Native
82,Male,Black or African American
83,Male,Hispanic or Latino
84,Female,Asian
85,Female,Black or African American
86,Male,American Indian or Alaska Native
87,Female,Hispanic or Latino
88,Male,Caucasian
89,Female,Black or African American
90,Male,Black or African American
91,Female,Black or African American
92,Male,Caucasian
93,Female,American Indian or Alaska Native
94,Female,Asian
95,Male,Asian
96,Female,Hispanic or Latino
97,Male,Caucasian
98,Male,Asian
99,Male,American Indian or Alaska Native
100,Female,Caucasian
101,Female,Caucasian
102,Female,American Indian or Alaska Native
103,Female,Black or African American
104,Male,Asian
105,Female,Asian
106,Male,Hispanic or Latino
107,Female,Black or African American
108,Male,Hispanic or Latino
109,Female,Asian
110,Female,American Indian or Alaska Native
111,Female,Caucasian
112,Female,Caucasian
113,Male,Black or African American
114,Female,Asian
115,Male,American Indian or Alaska Native
116,Male,Asian
117,Male,Caucasian
118,Female,American Indian or Alaska Native
119,Male,Hispanic or Latino
120,Male,Hispanic or Latino
121,Female,American Indian or Alaska Native
122,Female,American Indian or Alaska Native
123,Female,Caucasian
124,Female,Black or African American
125,Female,Caucasian
126,Female,Asian
127,Female,Black or African American
128,Female,American Indian or Alaska Native
129,Female,Caucasian
130,Male,Caucasian
131,Male,Asian
132,Male,American Indian or Alaska Native
133,Male,Hispanic or Latino
134,Female,Asian
135,Female,Hispanic or Latino
136,Female,Hispanic or Latino
137,Female,Asian
138,Female,Caucasian
139,Female,Asian
140,Female,Asian
141,Female,Caucasian
142,Male,Caucasian
143,Female,Hispanic or Latino
144,Male,Asian
145,Female,Asian
146,Female,Caucasian
147,Female,Asian
148,Male,Black or African American
149,Male,Hispanic or Latino
150,Male,American Indian or Alaska Native
151,Male,Black or African American
152,Male,Black or African American
153,Female,Black or African American
154,Male,Black or African American
155,Female,Caucasian
156,Female,Caucasian
157,Male,American Indian or Alaska Native
158,Male,American Indian or Alaska Native
159,Male,American Indian or Alaska Native
160,Male,Asian
161,Female,Caucasian
162,Male,American Indian or Alaska Native
163,Female,Black or African American
164,Male,Caucasian
165,Female,Black or African American
166,Female,Black or African American
167,Female,Black or African American
168,Male,Hispanic or Latino
169,Male,American Indian or Alaska Native
170,Female,Hispanic or Latino
171,Female,American Indian or Alaska Native
172,Male,Caucasian
173,Female,Black or African American
174,Female,Hispanic or Latino
175,Female,Hispanic or Latino
176,Male,Caucasian
177,Female,American Indian or Alaska Native
178,Male,American Indian or Alaska Native
179,Female,Black or African American
180,Male,Black or African American
181,Female,Caucasian
182,Female,Black or African American
183,Male,Black or African American
184,Male,Caucasian
185,Male,Caucasian
186,Female,Caucasian
187,Female,Black or African American
188,Male,Caucasian
189,Female,Hispanic or Latino
190,Female,Black or African American
191,Female,Black or African American
192,Male,American Indian or Alaska Native
193,Male,Black or African American
194,Female,Caucasian
195,Male,Asian
196,Male,American Indian or Alaska Native
197,Male,Asian
198,Female,American Indian or Alaska Native
199,Male,Hispanic or Latino
200,Male,Hispanic or Latino
201,Female,Black or African American
202,Male,Hispanic or Latino
203,Female,American Indian or Alaska Native
204,Female,American Indian or Alaska Native
205,Female,Hispanic or Latino
206,Male,Asian
207,Male,Caucasian
208,Female,Hispanic or Latino
209,Female,Hispanic or Latino
210,Male,Caucasian
211,Male,Black or African American
212,Female,Caucasian
213,Female,Caucasian
214,Female,Hispanic or Latino
215,Female,Hispanic or Latino
216,Female,Caucasian
217,Female,Hispanic or Latino
218,Female,Black or African American
219,Male,Black or African American
220,Female,Asian
221,Female,American Indian or Alaska Native
222,Female,Black or African American
223,Male,Black or African American
224,Female,Black or African American
225,Male,Caucasian
226,Female,Asian
227,Female,Black or African American
228,Female,Caucasian
229,Female,Asian
230,Female,American Indian or Alaska Native
231,Female,Caucasian
232,Female,American Indian or Alaska Native
233,Male,Hispanic or Latino
234,Male,Caucasian
235,Female,American Indian or Alaska Native
236,Male,American Indian or Alaska Native
237,Male,Hispanic or Latino
238,Male,Caucasian
239,Female,Caucasian
240,Male,American Indian or Alaska Native
241,Female,Asian
242,Male,American Indian or Alaska Native
243,Male,Caucasian
244,Female,Asian
245,Female,Asian
246,Male,Asian
247,Female,American Indian or Alaska Native
248,Female,American Indian or Alaska Native
249,Male,Caucasian
250,Female,American Indian or Alaska Native
251,Male,Black or African American
252,Female,Hispanic or Latino
253,Male,Hispanic or Latino
254,Male,Black or African American
255,Female,American Indian or Alaska Native
256,Male,Black or African American
257,Female,Caucasian
258,Female,Black or African American
259,Female,Black or African American
260,Male,Asian
261,Male,American Indian or Alaska Native
262,Male,Asian
263,Male,Hispanic or Latino
264,Female,Asian
265,Male,American Indian or Alaska Native
266,Male,Asian
267,Male,Asian
268,Male,Caucasian
269,Male,Black or African American
270,Male,American Indian or Alaska Native
271,Male,Hispanic or Latino
272,Male,Asian
273,Male,Hispanic or Latino
274,Female,Hispanic or Latino
275,Male,Asian
276,Male,Asian
277,Male,Hispanic or Latino
278,Female,Asian
279,Female,Black or African American
280,Male,Asian
281,Male,Caucasian
282,Female,American Indian or Alaska Native
283,Female,Hispanic or Latino
284,Male,Hispanic or Latino
285,Female,American Indian or Alaska Native
286,Female,Asian
287,Male,Caucasian
288,Female,Asian
289,Male,American Indian or Alaska Native
290,Male,American Indian or Alaska Native
291,Male,American Indian or Alaska Native
292,Male,American Indian or Alaska Native
293,Female,Caucasian
294,Male,Caucasian
295,Female,American Indian or Alaska Native
296,Male,American Indian or Alaska Native
297,Male,Hispanic or Latino
298,Male,Caucasian
299,Female,Black or African American
300,Male,Asian
301,Male,Hispanic or Latino
302,Female,American Indian or Alaska Native
303,Female,Black or African American
304,Male,Hispanic or Latino
305,Male,Caucasian
306,Male,Caucasian
307,Female,Hispanic or Latino
308,Female,Hispanic or Latino
309,Male,Black or African American
310,Male,Black or African American
311,Female,Caucasian
312,Male,Caucasian
313,Female,Black or African American
314,Male,Black or African American
315,Male,Asian
316,Female,Hispanic or Latino
317,Male,Hispanic or Latino
318,Female,Caucasian
319,Female,American Indian or Alaska Native
320,Male,Black or African American
321,Male,Caucasian
322,Female,Black or African American
323,Male,American Indian or Alaska Native
324,Male,Black or African American
325,Female,Hispanic or Latino
326,Female,Black or African American
327,Female,Black or African American
328,Male,American Indian or Alaska Native
329,Male,Black or African American
330,Female,Caucasian
331,Male,Caucasian
332,Female,Asian
333,Male,Hispanic or Latino
334,Male,Black or African American
335,Female,Hispanic or Latino
336,Male,Asian
337,Female,American Indian or Alaska Native
338,Male,Black or African American
339,Male,Black or African American
340,Female,Caucasian
341,Male,American Indian or Alaska Native
342,Male,Caucasian
343,Male,Caucasian
344,Male,Black or African American
345,Male,Caucasian
346,Female,American Indian or Alaska Native
347,Male,Asian
348,Male,Black or African American
349,Female,Black or African American
350,Female,Caucasian
351,Female,Asian
352,Female,Black or African American
353,Female,Black or African American
354,Male,Caucasian
355,Female,Hispanic or Latino
356,Male,Asian
357,Male,Hispanic or Latino
358,Female,American Indian or Alaska Native
359,Female,Asian
360,Male,Black or African American
361,Male,Asian
362,Female,Black or African American
363,Female,Black or African American
364,Male,American Indian or Alaska Native
365,Female,Caucasian
366,Female,Hispanic or Latino
367,Male,American Indian or Alaska Native
368,Male,Asian
369,Male,American Indian or Alaska Native
370,Female,Caucasian
371,Male,Asian
372,Female,Black or African American
373,Male,Caucasian
374,Male,Caucasian
375,Female,Hispanic or Latino
376,Male,Hispanic or Latino
377,Female,Black or African American
378,Male,Black or African American
379,Female,Black or African American
380,Male,Hispanic or Latino
381,Female,Caucasian
382,Male,Caucasian
